cluster,names,scores,logfoldchanges,pvals,pvals_adj
3,KLF4,41.473446,3.082167,0.0,0.0
3,S100A11,41.397953,2.4477112,0.0,0.0
3,CYBB,41.172836,2.9085386,0.0,0.0
4,PSAP,57.216606,3.4094493,0.0,0.0
4,CPVL,56.747334,3.686535,0.0,0.0
4,LGALS2,56.627346,4.051648,0.0,0.0
4,LYZ,55.847725,5.1350465,0.0,0.0
4,TYMP,55.601753,3.3394814,0.0,0.0
4,NEAT1,55.56474,2.7855694,0.0,0.0
4,FCN1,55.48904,4.2339544,0.0,0.0
4,MS4A6A,55.294243,3.7382612,0.0,0.0
4,CTSS,55.190796,3.6878543,0.0,0.0
4,FGL2,55.16155,3.5765314,0.0,0.0
4,GRN,54.515606,3.243129,0.0,0.0
4,TNFAIP2,54.395664,3.3542414,0.0,0.0
4,CD14,54.006565,3.74007,0.0,0.0
4,CSTA,53.434868,3.3881242,0.0,0.0
4,S100A9,52.963253,5.4485717,0.0,0.0
4,VCAN,52.954357,4.0740776,0.0,0.0
